Date,Value
09/2001,290.85
10/2001,280.95
11/2001,274.7
12/2001,276.5
01/2002,281.5
02/2002,296.55
03/2002,303.0
04/2002,309.35
05/2002,327.25
06/2002,319.05
07/2002,305.5
08/2002,312.4
09/2002,322.4
10/2002,316.35
11/2002,318.25
12/2002,342.75
01/2003,370.35
02/2003,347.65
03/2003,335.35
04/2003,336.0
05/2003,365.8
06/2003,345.15
07/2003,355.75
08/2003,371.0
09/2003,384.5
10/2003,384.6
11/2003,398.1
12/2003,417.25
01/2004,401.3
02/2004,392.25
03/2004,423.0
04/2004,387.3
05/2004,393.85
06/2004,393.75
07/2004,389.6
08/2004,408.1
09/2004,412.35
10/2004,426.2
11/2004,452.0
12/2004,438.0
01/2005,423.8
02/2005,436.55
03/2005,427.5
04/2005,433.2
05/2005,416.9
06/2005,436.8
07/2005,427.15
08/2005,433.0
09/2005,473.4
10/2005,472.65
11/2005,493.8
12/2005,513.0
01/2006,569.8
02/2006,556.5
03/2006,584.0
04/2006,638.25
05/2006,654.0
06/2006,600.4
07/2006,637.0
08/2006,621.75
09/2006,601.75
10/2006,600.9
11/2006,638.4
12/2006,635.7
01/2007,645.75
02/2007,677.0
03/2007,663.5
04/2007,678.0
05/2007,656.6
06/2007,648.5
07/2007,666.75
08/2007,668.0
09/2007,737.75
10/2007,783.0
11/2007,794.75
12/2007,836.5
01/2008,923.75
02/2008,969.0
03/2008,937.25
04/2008,867.75
05/2008,879.5
06/2008,932.75
07/2008,912.0
08/2008,836.5
09/2008,897.0
10/2008,728.5
11/2008,813.5
12/2008,865.0
01/2009,918.5
02/2009,943.75
03/2009,918.5
04/2009,889.0
05/2009,972.0
06/2009,941.0
07/2009,936.5
08/2009,950.75
09/2009,1001.25
10/2009,1044.5
11/2009,1172.0
12/2009,1104.0
01/2010,1082.75
02/2010,1112.5
03/2010,1109.5
04/2010,1175.25
05/2010,1214.0
06/2010,1240.5
07/2010,1168.0
08/2010,1233.5
09/2010,1311.0
10/2010,1336.75
11/2010,1375.0
12/2010,1410.25
01/2011,1333.5
02/2011,1409.75
03/2011,1431.0
04/2011,1531.0
05/2011,1537.0
06/2011,1508.0
07/2011,1613.75
08/2011,1826.0
09/2011,1629.0
10/2011,1718.0
11/2011,1704.0
12/2011,1574.5
01/2012,1738.0
02/2012,1788.0
03/2012,1660.75
04/2012,1662.5
05/2012,1567.5
06/2012,1569.5
07/2012,1622.75
08/2012,1657.75
09/2012,1781.0
10/2012,1718.0
11/2012,1728.25
12/2012,1664.0
01/2013,1674.5
02/2013,1591.0
03/2013,1602.5
04/2013,1472.75
05/2013,1410.25
06/2013,1203.25
07/2013,1331.5
08/2013,1392.75
09/2013,1335.75
10/2013,1333.75
11/2013,1245.25
12/2013,1201.5
01/2014,1246.5
02/2014,1327.75
03/2014,1294.0
04/2014,1292.0
05/2014,1254.0
06/2014,1313.0
07/2014,1295.0
08/2014,1285.75
09/2014,1210.0
10/2014,1173.25
11/2014,1184.5
12/2014,1199.25
01/2015,1263.5
02/2015,1205.0
03/2015,1179.25
04/2015,1204.3
05/2015,1189.8
06/2015,1171.8
07/2015,1095.1
08/2015,1132.5
09/2015,1115.2
10/2015,1141.4
11/2015,1065.3
12/2015,1060.2
01/2016,1116.4
02/2016,1234.4
03/2016,1235.6
04/2016,1290.5
05/2016,1217.5
06/2016,1320.6
07/2016,1357.5
08/2016,1311.4
09/2016,1317.1
10/2016,1273.1
11/2016,1173.9
12/2016,1151.7
01/2017,1211.4
02/2017,1253.9
03/2017,1251.2
04/2017,1268.3
05/2017,1275.4
06/2017,1242.3
07/2017,1273.4
08/2017,1322.2
09/2017,1284.8
10/2017,1270.5
11/2017,1282.15
12/2017,1296.5
01/2018,1343.35
02/2018,1320.3
03/2018,1323.9
04/2018,1316.25
05/2018,1303.5
06/2018,1250.55
07/2018,1219.2
08/2018,1206.85
09/2018,1183.5
10/2018,1217.7
11/2018,1220.45
12/2018,1281.65
01/2019,1322.5
02/2019,1325.45
03/2019,1291.15
04/2019,1285.15
05/2019,1296.0
06/2019,1413.2
07/2019,1430.55
08/2019,1526.55
09/2019,1487.6
10/2019,1506.4
11/2019,1456.35
12/2019,1523.0
01/2020,1580.85
02/2020,1626.35
03/2020,1604.65
04/2020,1716.75
05/2020,1725.65
06/2020,1770.7
07/2020,1971.68
08/2020,1970.5
09/2020,1893.9
10/2020,1879.9
11/2020,1779.86
12/2020,1895.1
01/2021,1849.7
02/2021,1728.8
03/2021,1715.24
04/2021,1767.7
05/2021,1904.74
06/2021,1771.6
07/2021,1814.12
08/2021,1815.8
09/2021,1756.66
10/2021,1783.9
11/2021,1775.92
12/2021,1828.6
01/2022,1796.12
02/2022,1900.7
03/2022,1953.04
04/2022,1911.7
05/2022,1847.26
06/2022,1817.4548
